"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","69337","2009-08-25 00:00:00.00","2455068.5","","Keck1","LRIS","Unknown","","","Y","","","PTF09djl_2455068.5_Keck1_LRIS_None.txt","","Object","","MW","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3200","10316","1.9994380443945","Charalampopoulos et al. 2022","2022A&amp;A...659A..34C","","Dr Panos Charalampopoulos","2023-03-20 17:33:27"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","69340","2009-08-25 00:00:00.00","2455068.5","","Keck1","LRIS","Unknown","","","Y","","","PTF09djl_2455068.5_Keck1_LRIS_None_0.txt","","Object","","MW","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3200.00035","8880","1.9992958993312","Charalampopoulos et al. 2022","2022A&amp;A...659A..34C","Host-subtracted","Dr Panos Charalampopoulos","2023-03-20 17:33:27"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","69448","2009-08-25 00:00:00.00","2455068.5","","Keck1","LRIS","Unknown","","","Y","","","PTF09djl_2455068.5_Keck1_LRIS_None_1.txt","","Object","","MW","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3200.00035","8880","1.9992958993312","Charalampopoulos et al. 2022","2022A&amp;A...659A..34C","Host+Continuum-subtracted","Dr Panos Charalampopoulos","2023-03-20 17:58:12"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","3340","2009-08-25 08:58:05.00","2455068.873669","","Keck1","LRIS","Kasliwal, Arcavi, Mishra","annalisa","PTF","Y","PTF","","PTF09djl_2009-08-25_08-58-05_Keck1_LRIS_PTF.ascii","PTF09djl_2009-08-25_08-58-05_Keck1_LRIS_PTF.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","2970","10316","1.9994556341862","Arcavi et al. 2014","2014ApJ...793...38A","[Marshal: lastmodified=2013-05-06 06:13:04; specid=5721] [Prev. spec info - createdby: upload-marshalspec; modifiedby: ofer]"," Migration From WISeREP1.0","2011-04-21 13:03:24"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","69338","2009-09-23 00:00:00.00","2455097.5","","Keck1","LRIS","Unknown","","","Y","","","PTF09djl_2455097.5_Keck1_LRIS_None.txt","","Object","","MW","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3200","10240","1.9994319795513","Charalampopoulos et al. 2022","2022A&amp;A...659A..34C","","Dr Panos Charalampopoulos","2023-03-20 17:33:27"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","69341","2009-09-23 00:00:00.00","2455097.5","","Keck1","LRIS","Unknown","","","Y","","","PTF09djl_2455097.5_Keck1_LRIS_None_0.txt","","Object","","MW","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3200.00035","8880","1.9992958993312","Charalampopoulos et al. 2022","2022A&amp;A...659A..34C","Host-subtracted","Dr Panos Charalampopoulos","2023-03-20 17:33:27"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","69449","2009-09-23 00:00:00.00","2455097.5","","Keck1","LRIS","Unknown","","","Y","","","PTF09djl_2455097.5_Keck1_LRIS_None_1.txt","","Object","","MW","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3200.00035","8880","1.9992958993312","Charalampopoulos et al. 2022","2022A&amp;A...659A..34C","Host+Continuum-subtracted","Dr Panos Charalampopoulos","2023-03-20 17:58:12"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","3342","2009-09-23 07:00:09.00","2455097.7917708","","Keck1","LRIS","Kasliwal, Bhalerao","annalisa","PTF","Y","PTF","","PTF09djl_2009-09-23_07-00-09_Keck1_LRIS_PTF.ascii","PTF09djl_2009-09-23_07-00-09_Keck1_LRIS_PTF.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3020","10240","1.9994461368042","Arcavi et al. 2014","2014ApJ...793...38A","[Marshal: lastmodified=2013-05-29 06:50:02; specid=5776] [Prev. spec info - createdby: upload-marshalspec; modifiedby: ofer]"," Migration From WISeREP1.0","2011-04-21 13:03:24"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","3346","2009-10-24 05:13:49.00","2455128.7179282","","Keck1","LRIS","Kasliwal, Kulkarni","annalisa","PTF","Y","PTF","","PTF09djl_2009-10-24_05-13-49_Keck1_LRIS_PTF_0.ascii","PTF09djl_2009-10-24_05-13-49_Keck1_LRIS_PTF_0.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3000","10280","1.999450700357","Arcavi et al. 2014","2014ApJ...793...38A","[Marshal: lastmodified=2013-05-20 12:58:20; specid=5771] [Prev. spec info - createdby: upload-marshalspec; modifiedby: ofer]"," Migration From WISeREP1.0","2011-04-21 13:03:24"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","69339","2013-05-09 00:00:00.00","2456421.5","","Keck1","LRIS","Unknown","","","Y","","","PTF09djl_2456421.5_Keck1_LRIS_None.txt","","Host","","MW","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3118","10250","1.9994393047379","Charalampopoulos et al. 2022","2022A&amp;A...659A..34C","Host","Dr Panos Charalampopoulos","2023-03-20 17:33:27"
"1064","","PTF09djl","248.483086","30.237853","TDE","0.184","3348","2013-05-09 14:35:10.00","2456422.1077546","","Keck1","LRIS","Perley, Tang","annalisa","PTF","Y","PTF","","PTF09djl_2013-05-09_14-35-10_Keck1_LRIS_PTF.ascii","PTF09djl_2013-05-09_14-35-10_Keck1_LRIS_PTF.fits","Host","","","Air","Angstrom","1","Other","","0","0","","","","","","","2980","10250","1.9994499449945","Arcavi et al. 2014","2014ApJ...793...38A","[Marshal: lastmodified=2013-05-26 12:42:46; specid=5773] [Prev. spec info - createdby: upload-marshalspec; modifiedby: ofer]"," Migration From WISeREP1.0","2011-04-21 13:03:24"